,question,SQL Query,SQL Query Results,SQL-to-NL response
0,Which states had the highest salaries in 2022?,"SELECT location_name, value * 52 AS annual_salary 
FROM bls_earnings 
WHERE year = 2022 
AND measure = 'Median usual weekly earnings - in current dollars (second quartile)' 
AND union_status = 'N/A' 
AND industry_name = 'All Industries' 
AND occupation_name = 'All Occupations' 
AND education = 'All educational levels' 
AND age = '16 years and over' 
AND race = 'All Races' 
AND national_origin = 'All Origins' 
AND sex = 'Both Sexes' 
AND native_foreign_born = 'N/A' 
AND location_name != 'U.S. Total' 
ORDER BY annual_salary DESC 
LIMIT 10;
-- This query selects the top 10 states with the highest annual salaries in 2022. The annual salary is calculated by multiplying the weekly earnings by 52.","[('District of Columbia', 90480.0), ('Massachusetts', 70356.0), ('Connecticut', 65520.0), ('Colorado', 64480.0), ('Maryland', 64480.0), ('New Hampshire', 62764.0), ('Washington', 62244.0), ('New Jersey', 61724.0), ('Virginia', 60268.0), ('California', 60268.0)]","The states with the highest salaries in 2022 were the District of Columbia with an annual salary of $90,480, Massachusetts with $70,356, Connecticut with $65,520, Maryland and Colorado both with $64,480, New Hampshire with $62,764, Washington with $62,244, New Jersey with $61,724, and Virginia and California both with $60,268."
1,What is the median annual income of these states?,"SELECT location_name, value * 52 AS median_annual_income 
FROM bls_earnings 
WHERE year = (SELECT MAX(year) FROM bls_earnings) 
AND measure = 'Median usual weekly earnings - in current dollars (second quartile)' 
AND location_name IN ('State1', 'State2', 'State3') 
AND union_status = 'N/A' 
AND industry_name = 'All Industries' 
AND occupation_name = 'All Occupations' 
AND education = 'All educational levels' 
AND age = '16 years and over' 
AND race = 'All Races' 
AND national_origin = 'All Origins' 
AND sex = 'Both Sexes' 
AND native_foreign_born = 'N/A' 
ORDER BY median_annual_income DESC;
-- This query selects the median annual income (calculated by multiplying the weekly income by 52) for the states specified in the IN clause from the most recent year of data available. It filters for all industries, occupations, education levels, age groups, races, national origins, sexes, and native/foreign born statuses. The results are ordered in descending order by the median annual income.",[],"The query did not return any results. Therefore, it is not possible to provide the median annual income for the states 'State1', 'State2', and 'State3'."
2,How about since 2001?,"SELECT year, value 
FROM bls_current_employment 
WHERE data_type = 'ALL EMPLOYEES, THOUSANDS' AND period_name = 'Annual Average' AND industry_name = 'Total nonfarm' AND year >= 2001
ORDER BY year ASC;
-- This query selects the year and employment value from the bls_current_employment table where the data type is 'ALL EMPLOYEES, THOUSANDS', the period is 'Annual Average', the industry is 'Total nonfarm', and the year is 2001 or later. The results are ordered in ascending order by year.","[(2001, 132073000.0), (2002, 130634000.0), (2003, 130330000.0), (2004, 131769000.0), (2005, 134033000.0), (2006, 136435010.0), (2007, 137980990.0), (2008, 137224000.0), (2009, 131296000.0), (2010, 130345000.0), (2011, 131914000.0), (2012, 134157000.0), (2013, 136363010.0), (2014, 138939010.0), (2015, 141824000.0), (2016, 144335010.0), (2017, 146607010.0), (2018, 148908000.0), (2019, 150904000.0), (2020, 142186000.0), (2021, 146284990.0), (2022, 152575010.0)]","The total nonfarm employment for each year since 2001 is as follows:

- 2001: 132,073,000
- 2002: 130,634,000
- 2003: 130,330,000
- 2004: 131,769,000
- 2005: 134,033,000
- 2006: 136,435,010
- 2007: 137,980,990
- 2008: 137,224,000
- 2009: 131,296,000
- 2010: 130,345,000
- 2011: 131,914,000
- 2012: 134,157,000
- 2013: 136,363,010
- 2014: 138,939,010
- 2015: 141,824,000
- 2016: 144,335,010
- 2017: 146,607,010
- 2018: 148,908,000
- 2019: 150,904,000
- 2020: 142,186,000
- 2021: 146,284,990
- 2022: 152,575,010

Please note that these figures are in thousands."
3,Can you display the starting and ending unemployment rates for 5 cities where unemployment rates increased the most since 2010?,"SELECT start_rates.area_name, start_rates.value AS start_rate, end_rates.value AS end_rate
FROM bls_local_area_unemployment_statistics AS start_rates
JOIN bls_local_area_unemployment_statistics AS end_rates ON start_rates.area_name = end_rates.area_name
WHERE start_rates.year = 2010 AND end_rates.year = 2020 AND start_rates.measure = 'unemployment rate' AND end_rates.measure = 'unemployment rate' AND start_rates.area_type = 'city' AND end_rates.area_type = 'city'
ORDER BY (end_rates.value - start_rates.value) DESC
LIMIT 5;
-- This query joins the bls_local_area_unemployment_statistics table with itself on the area_name column to get the starting and ending unemployment rates for each city. It then orders the results by the difference between the ending and starting rates in descending order and limits the results to the top 5 cities where the unemployment rate increased the most.",[],"The query did not return any results. Therefore, it is not possible to provide the starting and ending unemployment rates for the 5 cities where unemployment rates increased the most since 2010."
4,Of the top 10 states with the highest GDP what is their median annual income?,"SELECT location_name, value * 52 AS median_annual_income  
FROM bls_earnings  
WHERE year = (SELECT MAX(year) FROM bls_earnings)  
AND measure = 'Median usual weekly earnings - in current dollars (second quartile)'  
AND location_name IN (
    SELECT area_name 
    FROM bea_gross_domestic_product_by_year 
    WHERE measurement_name = 'Real GDP by state' 
    AND industry_type = 'Total' 
    AND area_type = 'State' 
    AND year = ( 
        SELECT MAX(year) 
        FROM bea_gross_domestic_product_by_year 
        WHERE measurement_name = 'Real GDP by state' 
        AND industry_type = 'Total' 
    ) 
    ORDER BY value DESC 
    LIMIT 10
)  
AND union_status = 'N/A' 
AND industry_name = 'All Industries' 
AND occupation_name = 'All Occupations' 
AND education = 'All educational levels' 
AND age = '16 years and over' 
AND race = 'All Races' 
AND national_origin = 'All Origins' 
AND sex = 'Both Sexes' 
AND native_foreign_born = 'N/A' 
ORDER BY median_annual_income DESC  
LIMIT 10; 

-- This query selects the top 10 states in terms of GDP, then calculates the median annual earnings for those states.","[('Washington', 62244.0), ('New Jersey', 61724.0), ('California', 60268.0), ('New York', 59852.0), ('Illinois', 59072.0), ('Pennsylvania', 56940.0), ('Texas', 52728.0), ('Ohio', 52260.0), ('Georgia', 51272.0), ('Florida', 49504.0)]","The median annual income for the top 10 states with the highest GDP are as follows: Washington has a median annual income of $62,244. New Jersey has a median annual income of $61,724. California has a median annual income of $60,268. New York has a median annual income of $59,852. Illinois has a median annual income of $59,072. Pennsylvania has a median annual income of $56,940. Texas has a median annual income of $52,728. Ohio has a median annual income of $52,260. Georgia has a median annual income of $51,272. Florida has a median annual income of $49,504."
5,What is the GDP and number of job openings per capita in Washington state in 2020?,"SELECT gdp.value as gdp, job_openings.value as job_openings
FROM bea_gross_domestic_product_by_year as gdp
JOIN bls_job_turnover as job_openings
ON gdp.year = job_openings.year
WHERE gdp.area_name = 'Washington' 
AND gdp.year = 2020 
AND gdp.measurement_name = 'Real GDP by state' 
AND gdp.industry_type = 'Total'
AND job_openings.state = 'Washington' 
AND job_openings.data_element = 'Job openings' 
AND job_openings.month_name = 'Annual'
-- This query selects the GDP and number of job openings in Washington state in 2020. The GDP is taken from the bea_gross_domestic_product_by_year table and the number of job openings is taken from the bls_job_turnover table. The two tables are joined on the year column.","[(538856100000.0, 134000.0), (538856100000.0, 0.039)]","The Gross Domestic Product (GDP) of Washington state in 2020 was approximately 538.86 billion dollars. In the same year, there were 134,000 job openings. The number of job openings per capita was 0.039."
6,What industry in Washington had the most job openings in 2020?,"SELECT industry_name, MAX(value) as max_job_openings
FROM bls_job_turnover
WHERE state = 'Washington' AND year = 2020 AND data_element = 'Job openings' AND month_name = 'Annual'
GROUP BY industry_name
ORDER BY max_job_openings DESC
LIMIT 1;
-- This query selects the industry name and the maximum value of job openings from the bls_job_turnover table where the state is Washington, the year is 2020, the data element is job openings, and the month is annual. It then groups the results by industry name, orders them in descending order by the maximum number of job openings, and limits the results to the top 1.","[('Total nonfarm', 134000.0)]","The industry in Washington that had the most job openings in 2020 was the 'Total nonfarm' industry with 134,000 job openings."
7,In which 5 cities has the unemployment rate increased the most since 2010?,"SELECT t1.area_name, (t1.value_2022 - t2.value_2010) as increase 
FROM 
    (SELECT area_name, value as value_2022 
    FROM bls_local_area_unemployment_statistics 
    WHERE year = 2022 AND period_name = 'Annual' AND area_type = 'city') as t1 
JOIN 
    (SELECT area_name, value as value_2010 
    FROM bls_local_area_unemployment_statistics 
    WHERE year = 2010 AND period_name = 'Annual' AND area_type = 'city') as t2 
ON t1.area_name = t2.area_name 
ORDER BY increase DESC 
LIMIT 5;
-- This query first selects the unemployment rate for each city in 2022 and 2010. Then it calculates the increase in unemployment rate for each city by subtracting the rate in 2010 from the rate in 2022. The result is sorted in descending order and limited to the top 5 cities with the highest increase in unemployment rate.",[],"The query did not return any results. Therefore, it is not possible to determine which 5 cities have had the most increase in unemployment rate since 2010 based on the provided data."
8,What are the unemployment rates for each level of education over the past 5 years?,"SELECT level_of_education, year, value as unemployment_rate 
FROM bls_labor_force_statistics 
WHERE period_name = 'Annual' 
AND year >= (SELECT MAX(year) FROM bls_labor_force_statistics) - 5 
AND labor_force_status = 'Unemployment rate' 
AND level_of_education != 'All educational levels' 
ORDER BY level_of_education, year;
-- This query selects the level of education, year, and unemployment rate from the bls_labor_force_statistics table for the past 5 years. It excludes rows where the level of education is 'All educational levels'. The results are ordered by level of education and year.",[],The database does not contain any data on the unemployment rates for each level of education over the past 5 years.
9,List out the number of job openings for the top 5 states with the highest inflation rate,"SELECT job.state, job.value AS job_openings
FROM bls_job_turnover job
JOIN (
    SELECT cpi_2022.area_name, ((cpi_2022.value - cpi_2021.value)/cpi_2021.value) as inflation_rate 
    FROM bls_consumer_price_index cpi_2022, bls_consumer_price_index cpi_2021 
    WHERE cpi_2022.item_name = 'All items' 
    AND cpi_2022.year = 2022 
    AND cpi_2022.period_name = 'Annual' 
    AND cpi_2022.seasonal = 'Not Seasonally Adjusted' 
    AND cpi_2022.area_type = 'State' 
    AND cpi_2021.item_name = 'All items' 
    AND cpi_2021.year = 2021 
    AND cpi_2021.period_name = 'Annual' 
    AND cpi_2021.seasonal = 'Not Seasonally Adjusted' 
    AND cpi_2021.area_type = 'State' 
    AND cpi_2022.area_name = cpi_2021.area_name 
    ORDER BY inflation_rate DESC 
    LIMIT 5
) AS inflation
ON job.state = inflation.area_name
WHERE job.data_element = 'Job Openings'
AND job.year = 2022
AND job.month_name = 'Annual'
ORDER BY job_openings DESC;

-- This query first calculates the inflation rate for each state from 2021 to 2022 and selects the top 5 states with the highest inflation rate. Then it joins this result with the bls_job_turnover table to get the number of job openings for these states in 2022. The result is ordered by the number of job openings in descending order.",[],"The query did not return any results. Therefore, it is not possible to provide the number of job openings for the top 5 states with the highest inflation rate."
